"id";"title";"sentence";"subject1";"subject2";"subject3";"subject_notsure";"suggested_subject";"type1";"type2";"type3";"type_notsure";"suggested_type"
"1";;"تفاوت ترمز عقب دیسکی و کاسه ای چیست؟ ";"ماشین";"فنی";"خرید";"0";;;;;"1";"تفاوت"
"2";;"آیا ترمز ضدقفل ABS در همه چرخ ها عمل می کند؟  ";"ماشین";"فنی";"کار";"0";;"بله/خیر";;;"0";
"3";;"چرا باوجود نصب بودن ترمز ABS بر روي خودرو، ترمز ضدقفل عمل نمي کند؟";"ماشین";"فنی";"کار";"0";;"دلیل";"نظر";;"0";
"4";;"چرا با وجود نصب بودن Airbag بر روي خودرو، در هنگام تصادف، کيسه هواي ايمني عمل نکرد؟";"ماشین";"فنی";"کار";"0";;"دلیل";"توضیح";"نظر";"0";
"5";;"کلاس هاي مختلف خودرو چگونه شناسايي مي شوند؟ ";"ماشین";"فنی";"اقتصاد";"0";;"پیشنهاد";"نظر";"انتخاب";"0";
"6";;"چگونه مي توان بر روي خودروهاي توليد ايران خودرو آپشن هاي اضافي درخواست و نصب كرد؟ ";"ماشین";"فنی";"کار";"0";;"پیشنهاد";"نظر";;"0";
"7";;"آيا مي توان تجهيزاتي مانند ترمز ABS، گيربكس اتوماتيك و كيسه هوا را روي خودرو نصب كرد؟ ";"ماشین";"فنی";"کار";"0";;"بله/خیر";;;"0";
"8";;"آيا شركت ايران خودرو براي خودروهاي اتومات خدمات پس از فروش دارد؟ ";"ماشین";"فنی";"اقتصاد";"0";;"بله/خیر";;;"0";
"9";;"درباره كد كلاس هاي خودروهايي كه به صورت گروه خودرو معرفي شده اند توضيح دهيد؟ ";"ماشین";"فنی";"کار";"0";;"توضیح";;;"0";
"10";;"رنگ هاي خاص و سفارشي موجود در ايران خودرو، چه رنگ هايي مي باشند؟ ";"ماشین";"فنی";"کار";"0";;"توضیح";"پیشنهاد";;"0";
"11";;"رينگ هاي چرخ خودروهاي توليدي شركت چند نوع است؟ ";"ماشین";"فنی";"کار";"0";;"لیست";"توضیح";;"0";
"12";;"آيا سايز تاير و رينگ خودروهاي شركت يكسان است؟ ";"ماشین";"فنی";"کار";"0";;"بله/خیر";;;"0";
"13";;"آيا راديو پخش هاي نصب شده روي خودروهاي شركت داراي تنوع هستند؟ آيا قابليت پخش سي.دي. را دارند؟ ";"ماشین";;;"0";;"بله/خیر";;;"0";
"14";;"چند نوع موتور در ايران خودرو بر روي محصولات نصب مي شود؟ ";"ماشین";"فنی";;"0";;"لیست";;;"0";
"15";;"تفاوت موتورهاي 16 سوپاپ با 8 سوپاپ در موتورهاي چهار سيلندر چيست؟ ";"ماشین";"فنی";;"0";;;;;"0";"تفاوت"
"16";;"نحوه پيدا كردن و دريافت اطلاعات يك كد كلاس محصول چگونه است؟ ";"ماشین";"فنی";;"0";;"توضیح";;;"0";
"17";;"سايت هاي توليدي محصولات ايران خودرو كدامند و چه محصولاتي را توليد مي كنند؟ ";"ماشین";;;"0";;"لیست";"انتخاب";;"0";
"18";;"باتوجه به عدم عرضه پژو 206 تيپ 2 در ماه هاي گذشته، ‌آيا مجدداً توليد خواهد شد؟ ";"ماشین";;;"0";;"بله/خیر";;;"0";
"19";;"آيا پژو پارس سال، دوگانه سوز هم دارد؟ ";"ماشین";;;"0";;"بله/خیر";;;"0";
"20";;"نكات قابل توجه از ويژگي هاي خودروي دنــــــــــا چیست؟ ";"ماشین";"فنی";;"0";;"توضیح";"لیست";;"0";
"21";;"رنگ داشبورد خودروي 405 و پارس بژ است يا مشکي؟ ";"ماشین";;;"0";;"تعریف";;;"0";
"22";;"شيشه سولار که بر روي پژو پارس نصب شده است چه قابليتي دارد؟ ";"ماشین";"فنی";;"0";;"توضیح";;;"0";
"23";;"تفاوت مدل GLX و مدل SLX در خودروي پژو 405 چيست؟ ";"ماشین";"فنی";;"0";;"دلیل";"واقعیت";;"0";
"24";;"آيا تجهيزات خودروهاي هاچ بك و صندوقدار در پژو 206، تفاوت دارند؟ ";"ماشین";"فنی";;"0";;"بله/خیر";;;"0";
"25";;"آيا خودروهاي پژو 206 توليدي جديد (خودكفايي) با توليدات قبلي متفاوت است؟ ";"ماشین";"فنی";"کار";"0";;"بله/خیر";"دلیل";;"0";
"26";;"كروز كنترل چه كاري انجام مي دهد؟ ";"فنی";"ماشین";;"0";;"توضیح";"تعریف";;"0";
"27";;"نقش پاور ويندوز (Auto Power Windows) در عملكرد شيشه هاي خودرو چيست؟ ";"ماشین";"فنی";;"0";;"توضیح";"تعریف";"نظر";"0";
"28";;"آنتي ترپ (Anti trap) چيست؟ ";"فنی";"ماشین";"کار";"0";;"توضیح";;;"0";
"29";;"نصب و استفاده از كلاچ خودكار چه مزيتي دارد؟ ";"ماشین";"فنی";;"0";;"توضیح";"نظر";;"0";
"30";;"آيا براي استفاده از موبايل هندزفري در هر تماس بايد از گوشي هم استفاده نمود؟ ";"کامپیوتر/موبایل";"فنی";"سلامت";"0";;"بله/خیر";"دلیل";;"0";
"31";;"در صورت گم شدن كليد خودروي داراي سامانه بازدارنده استارت موتور (ايموبيلايزر) بايد چه كرد؟ ";"ماشین";"فنی";;"0";;"پیشنهاد";;;"0";
"32";;"ميكروهيبريد (سامانه خاموش-روشن) چه كاري در خودرو انجام مي دهد؟ ";"ماشین";"فنی";;"0";;"توضیح";"نظر";;"0";
"33";;"عملكرد سنسور باران در خودرو چگونه است؟ ";"ماشین";"فنی";;"0";;"توضیح";"نظر";;"0";
"34";;"تيپ ترونيك چيست؟ ";"فنی";"ماشین";;"0";;"توضیح";"تعریف";;"0";
"35";;"سيستم ترمز EBD چه تفاوتي با ABS دارد؟ ";"ماشین";"فنی";;"0";;"تعریف";"دلیل";"لیست";"0";
"36";;"سيستم مالتي پلكس چيست؟ ";"ماشین";"فنی";;"0";;"تعریف";"توضیح";;"0";
"37";;"چگونه مي توانم روي خودرو خود رينگ آلومينيومي استاندارد سفارش دهم؟ ";"ماشین";"فنی";;"0";;"توضیح";;;"0";
"38";;"آيا مراجعه حضوري مشتريان به سازمان فروش تاثيري بر تسريع فرايند شماره گذاري دارد؟ ";"خرید";;;"0";;"بله/خیر";;;"0";
"39";;"آيا در صورت داشتن پلاک آزاد(فکي) باز هم نياز به ارائه اسناد مربوط به احراز سکونت مي باشد؟ ";"ماشین";;;"0";;"بله/خیر";;;"0";
"40";;"جهت اخذ پلاک تخصيص يافته اي که در مراکز نقل وانتقال موجود است، چه مدارکي بايد ارائه گردد؟ ";"ماشین";;;"0";;"لیست";"توضیح";;"0";
"41";;"براي آگاهي از محل وجود سند مالکيت وکارت خودرو چه اقدامي لازم است؟ ";"ماشین";;;"0";;"توضیح";;;"0";
"42";;"چگونه از محل نگهداري پلاک فکي خود آگاه شويم؟ ";"ماشین";;;"0";;"توضیح";"نظر";;"0";
