Unnamed: 0;id;title;sentence;subject1;subject2;subject3;subject_notsure;suggested_subject;type1;type2;type3;type_notsure;suggested_type;s1 score;s2 score;s3 score;t1 score;t2 score;t3 score;Avg_sbj_num;Avg_typ_num
0;1;;تفاوت ترمز عقب دیسکی و کاسه ای چیست؟ ;خودرو;فنی;;0;;توضیح;;;0;;29;28;0;19;0;0;2.33333333333;1.33333333333
1;2;;آیا ترمز ضدقفل ABS در همه چرخ ها عمل می کند؟  ;خودرو;فنی;;0;;بله/خیر;;;0;;29;28;0;30;0;0;2.33333333333;1.66666666667
2;3;;چرا باوجود نصب بودن ترمز ABS بر روی خودرو، ترمز ضدقفل عمل نمی کند؟;خودرو;فنی;;0;;دلیل;نظر;;0;;29;28;0;30;17;0;2.33333333333;2.0
3;4;;چرا با وجود نصب بودن Airbag بر روی خودرو، در هنگام تصادف، کیسه هوای ایمنی عمل نکرد؟;خودرو;فنی;;0;;دلیل;توضیح;نظر;0;;29;28;0;30;18;16;2.33333333333;2.33333333333
4;5;;کلاس های مختلف خودرو چگونه شناسایی می شوند؟ ;خودرو;فنی;;0;;نظر;;;0;;30;18;0;17;0;0;2.33333333333;2.33333333333
5;6;;چگونه می توان بر روی خودروهای تولید ایران خودرو آپشن های اضافی درخواست و نصب کرد؟ ;خودرو;فنی;خرید;0;;توضیح;نظر;پیشنهاد;0;;28;27;18;20;18;18;3.0;2.0
6;7;;آیا می توان تجهیزاتی مانند ترمز ABS، گیربکس اتوماتیک و کیسه هوا را روی خودرو نصب کرد؟ ;خودرو;فنی;;0;;بله/خیر;;;0;;29;28;0;30;0;0;2.66666666667;1.66666666667
7;8;;آیا شرکت ایران خودرو برای خودروهای اتومات خدمات پس از فروش دارد؟ ;خودرو;خرید;مالی و اقتصادی;0;;بله/خیر;;;0;;29;18;17;30;0;0;2.66666666667;2.0
8;9;;درباره کد کلاس های خودروهایی که به صورت گروه خودرو معرفی شده اند توضیح دهید؟ ;خودرو;فنی;;0;;توضیح;;;0;;30;18;0;30;0;0;2.0;1.66666666667
9;10;;رنگ های خاص و سفارشی موجود در ایران خودرو، چه رنگ هایی می باشند؟ ;خودرو;خرید;;0;;لیست;توضیح;;0;;29;19;0;20;19;0;2.33333333333;2.33333333333
10;11;;رینگ های چرخ خودروهای تولیدی شرکت چند نوع است؟ ;خودرو;فنی;;0;;لیست;توضیح;;0;;29;28;0;30;18;0;2.33333333333;1.66666666667
11;12;;آیا سایز تایر و رینگ خودروهای شرکت یکسان است؟ ;خودرو;فنی;;0;;بله/خیر;;;0;;29;19;0;30;0;0;2.0;1.66666666667
12;13;;آیا رادیو پخش های نصب شده روی خودروهای شرکت دارای تنوع هستند؟ آیا قابلیت پخش سی.دی. را دارند؟ ;خودرو;فنی;;0;;بله/خیر;;;0;;30;18;0;30;0;0;2.0;2.0
13;14;;چند نوع موتور در ایران خودرو بر روی محصولات نصب می شود؟ ;خودرو;فنی;;0;;لیست;;;0;;29;28;0;30;0;0;2.0;2.0
14;15;;تفاوت موتورهای 16 سوپاپ با 8 سوپاپ در موتورهای چهار سیلندر چیست؟ ;خودرو;فنی;;0;;توضیح;;;0;;29;28;0;20;0;0;2.0;1.0
15;16;;نحوه پیدا کردن و دریافت اطلاعات یک کد کلاس محصول چگونه است؟ ;خودرو;فنی;خرید;0;;توضیح;;;0;;20;19;18;30;0;0;2.0;1.66666666667
16;17;;سایت های تولیدی محصولات ایران خودرو کدامند و چه محصولاتی را تولید می کنند؟ ;خودرو;;;0;;لیست;;;0;;30;0;0;30;0;0;1.66666666667;2.33333333333
17;18;;باتوجه به عدم عرضه پژو 206 تیپ 2 در ماه های گذشته،  آیا مجدداً تولید خواهد شد؟ ;خودرو;مالی و اقتصادی;;0;;بله/خیر;;;0;;30;17;0;30;0;0;2.0;1.66666666667
18;19;;آیا پژو پارس سال، دوگانه سوز هم دارد؟ ;خودرو;فنی;;0;;بله/خیر;;;0;;30;18;0;30;0;0;2.0;1.66666666667
19;20;;نکات قابل توجه از ویژگی های خودروی دنــــــــــا چیست؟ ;خودرو;فنی;;0;;لیست;توضیح;;0;;30;27;0;29;28;0;2.33333333333;2.33333333333
20;21;;رنگ داشبورد خودروی 405 و پارس بژ است یا مشکی؟ ;خودرو;;;0;;;;;0;;30;0;0;0;0;0;1.66666666667;1.33333333333
21;22;;شیشه سولار که بر روی پژو پارس نصب شده است چه قابلیتی دارد؟ ;خودرو;فنی;;0;;توضیح;;;0;;29;28;0;30;0;0;2.33333333333;1.33333333333
22;23;;تفاوت مدل GLX و مدل SLX در خودروی پژو 405 چیست؟ ;خودرو;فنی;;0;;توضیح;;;0;;30;27;0;20;0;0;2.0;2.0
23;24;;آیا تجهیزات خودروهای هاچ بک و صندوقدار در پژو 206، تفاوت دارند؟ ;خودرو;فنی;;0;;بله/خیر;توضیح;;0;;29;28;0;30;18;0;2.0;1.66666666667
24;25;;آیا خودروهای پژو 206 تولیدی جدید (خودکفایی) با تولیدات قبلی متفاوت است؟ ;خودرو;فنی;;0;;بله/خیر;توضیح;;0;;30;27;0;30;18;0;2.66666666667;2.0
25;26;;کروز کنترل چه کاری انجام می دهد؟ ;فنی;خودرو;;0;;توضیح;تعریف;;0;;30;27;0;29;28;0;2.0;2.0
26;27;;نقش پاور ویندوز (Auto Power Windows) در عملکرد شیشه های خودرو چیست؟ ;فنی;خودرو;;0;;توضیح;نظر;;0;;29;28;0;30;17;0;2.33333333333;2.33333333333
27;28;;آنتی ترپ (Anti trap) چیست؟ ;فنی;خودرو;;0;;تعریف;;;0;;30;18;0;20;0;0;2.0;1.33333333333
28;29;;نصب و استفاده از کلاچ خودکار چه مزیتی دارد؟ ;خودرو;فنی;;0;;توضیح;نظر;;0;;29;28;0;28;19;0;2.33333333333;2.33333333333
29;30;;آیا برای استفاده از موبایل هندزفری در هر تماس باید از گوشی هم استفاده نمود؟ ;کامپیوتر و موبایل;فنی;;0;;بله/خیر;;;0;;30;18;0;30;0;0;2.33333333333;1.66666666667
30;31;;در صورت گم شدن کلید خودروی دارای سامانه بازدارنده استارت موتور (ایموبیلایزر) باید چه کرد؟ ;خودرو;فنی;;0;;توضیح;پیشنهاد;;0;;29;28;0;20;19;0;2.0;1.66666666667
31;32;;میکروهیبرید (سامانه خاموش-روشن) چه کاری در خودرو انجام می دهد؟ ;خودرو;فنی;;0;;توضیح;نظر;;0;;29;28;0;30;17;0;2.0;2.0
32;33;;عملکرد سنسور باران در خودرو چگونه است؟ ;فنی;خودرو;;0;;توضیح;;;0;;29;28;0;30;0;0;2.33333333333;1.66666666667
33;34;;تیپ ترونیک چیست؟ ;فنی;خودرو;;0;;تعریف;توضیح;;0;;30;27;0;29;19;0;2.0;1.66666666667
34;35;;سیستم ترمز EBD چه تفاوتی با ABS دارد؟ ;فنی;خودرو;;0;;توضیح;لیست;;0;;29;28;0;20;17;0;2.0;2.33333333333
35;36;;سیستم مالتی پلکس چیست؟ ;فنی;خودرو;;0;;توضیح;تعریف;;0;;29;19;0;28;20;0;1.66666666667;1.66666666667
36;37;;چگونه می توانم روی خودرو خود رینگ آلومینیومی استاندارد سفارش دهم؟ ;خودرو;فنی;;0;;توضیح;;;0;;29;28;0;30;0;0;2.0;1.66666666667
37;38;;آیا مراجعه حضوری مشتریان به سازمان فروش تاثیری بر تسریع فرایند شماره گذاری دارد؟ ;خرید;;;0;;بله/خیر;;;0;;30;0;0;30;0;0;1.66666666667;1.66666666667
38;39;;آیا در صورت داشتن پلاک آزاد(فکی) باز هم نیاز به ارائه اسناد مربوط به احراز سکونت می باشد؟ ;خودرو;حقوق و قانون;;0;;بله/خیر;;;0;;27;19;0;30;0;0;2.33333333333;1.33333333333
39;40;;جهت اخذ پلاک تخصیص یافته ای که در مراکز نقل وانتقال موجود است، چه مدارکی باید ارائه گردد؟ ;خرید;حقوق و قانون;خودرو;1;;لیست;توضیح;;0;;19;19;18;30;18;0;2.0;1.66666666667
40;41;;برای آگاهی از محل وجود سند مالکیت وکارت خودرو چه اقدامی لازم است؟ ;خودرو;خرید;حقوق و قانون;0;;توضیح;;;0;;26;19;19;29;0;0;2.33333333333;1.33333333333
41;42;;چگونه از محل نگهداری پلاک فکی خود آگاه شویم؟ ;خودرو;حقوق و قانون;;0;;توضیح;;;0;;27;20;0;30;0;0;2.0;1.33333333333
42;43;;دلیل تأخیر در فرایند ابطال خودرو در حوزه شماره گذاری چیست؟ ;خودرو;;;0;;دلیل;توضیح;;0;;28;0;0;30;18;0;1.33333333333;1.66666666667
43;44;;دلائل عدم شماره گذاری به موقع خورو چه می تواند باشد؟ ;خودرو;;;0;;دلیل;لیست;;0;;28;0;0;29;28;0;1.66666666667;2.33333333333
44;45;;معمولاً فرایند شماره گذاری خودرو چه مدت به طول می انجامد؟ ;خودرو;خرید;حقوق و قانون;0;;توضیح;;;0;;27;19;18;20;0;0;2.33333333333;1.0
45;46;;مدت زمان نگهداری پلاک های فکی در مراکز مختلف چقدر است؟ ;خودرو;;;0;;توضیح;;;0;;27;0;0;20;0;0;1.66666666667;1.0
46;47;;آیا می توان از قیچی شدن ( امحاء ) فیزیک پلاک که بر روی خودروی قبلی نصب بوده آگاهی یافت؟ ;خودرو;حقوق و قانون;;0;;بله/خیر;توضیح;;0;;26;18;0;30;18;0;2.33333333333;1.66666666667
47;48;;مدارک لازم جهت دریافت خودرو چیست ؟ ;خودرو;خرید;حقوق و قانون;0;;لیست;;;0;;27;19;18;30;0;0;2.33333333333;1.33333333333
48;49;;علت تحویل خودرو در پارکینگ هایی غیر از نمایندگیها و محل اصلی شرکت چیست و عملکرد آنها به چه صورت است؟ ;خودرو;حقوق و قانون;;0;;دلیل;توضیح;;0;;28;19;0;30;27;0;2.0;2.33333333333
49;50;; (PDS ( Pre Delivery Service چیست؟ ;خرید;;;0;;تعریف;;;0;;17;0;0;30;0;0;1.33333333333;1.0
50;51;;اسامی پارکینگ هایی که در آنها PDS انجام می شود؟;خودرو;خرید;;0;;لیست;;;0;;19;18;0;30;0;0;1.33333333333;1.0
51;52;;آیا تاخیر در دریافت خودرو از پارکینگ مشمول جریمه می گردد؟ ;خودرو;حقوق و قانون;خرید;0;;بله/خیر;;;0;;27;20;17;30;0;0;2.66666666667;1.66666666667
52;53;;نحوه دریافت خودروهای پلاک تهران، ثبت نامی نمایندگیهای شهرستان چگونه است؟ ;خرید;خودرو;حقوق و قانون;0;;توضیح;;;0;;29;26;18;30;0;0;2.66666666667;1.0
53;54;;ساعات کار شرکت ایران خودرو جهت تحویل خودرو به مشتریان محترم چگونه است؟ ;خرید;خودرو;;0;;توضیح;;;0;;29;26;0;29;0;0;2.33333333333;1.33333333333
54;55;;دریافت خودرو ازطریق وکالت نامه چگونه انجام می شود؟ ;خرید;خودرو;حقوق و قانون;0;;توضیح;;;0;;28;25;20;30;0;0;2.66666666667;1.0
55;56;;چه مدارکی توسط اداره پست به نشانی مشتری محترم ارسال می گردد؟ ;حقوق و قانون;خودرو;;0;;لیست;توضیح;;0;;27;17;0;30;27;0;2.0;2.0
56;57;;چه مدارکی توسط نمایندگی به مشتری محترم ارائه می گردد ؟ ;حقوق و قانون;خودرو;;0;;لیست;توضیح;;0;;26;18;0;30;18;0;2.0;1.66666666667
57;58;;نمایندگان مجاز ایران خودرو چه کسانی هستند؟ ;خودرو;حقوق و قانون;خرید;0;;لیست;;;0;;28;19;17;30;0;0;2.33333333333;1.33333333333
58;59;;برای خرید و ثبت نام محصولات ایران خودرو به کجا مراجعه نماییم؟ ;خرید;خودرو;;0;;لیست;توضیح;;0;;29;27;0;29;19;0;2.33333333333;1.66666666667
