;term;TF-IDF;num_q;f_in_q
0;تفاوت;4042.57941783;27.0;[[0, 1], [14, 1], [22, 1], [23, 1], [81, 1], [185, 1], [226, 1], [639, 1], [750, 1], [787, 1], [850, 1], [855, 1], [1060, 1], [1172, 1], [1174, 1], [1242, 1], [1565, 2], [1707, 1], [1909, 1], [1920, 1], [1952, 1], [1993, 1], [2024, 1], [2741, 1], [2746, 1], [2749, 1], [2776, 1]]
1;ترمز;2362.9844143;10.0;[[0, 1], [1, 1], [2, 2], [6, 1], [34, 1], [1830, 1], [1909, 1], [1910, 2], [1913, 1], [2509, 1]]
2;عقب;647.005208017;2.0;[[0, 1], [1909, 1]]
3;دیسکی;647.005208017;2.0;[[0, 1], [1909, 1]]
4;و;23443.1700493;1093.0;[[0, 1], [5, 1], [6, 1], [9, 1], [11, 1], [15, 1], [16, 1], [20, 1], [22, 1], [23, 1], [28, 1], [48, 2], [58, 1], [67, 1], [68, 3], [69, 1], [70, 2], [72, 2], [73, 2], [78, 4], [79, 1], [80, 3], [81, 1], [84, 5], [85, 2], [87, 1], [89, 2], [90, 1], [92, 1], [93, 2], [95, 1], [97, 1], [98, 2], [100, 3], [101, 1], [102, 4], [103, 4], [104, 2], [105, 3], [106, 1], [108, 1], [109, 11], [110, 2], [111, 1], [112, 1], [114, 1], [115, 1], [118, 1], [119, 1], [122, 1], [125, 2], [126, 1], [127, 2], [128, 1], [129, 1], [130, 1], [131, 1], [132, 1], [133, 2], [134, 2], [135, 1], [136, 2], [137, 3], [138, 3], [139, 1], [140, 3], [143, 1], [146, 1], [147, 2], [148, 1], [150, 1], [151, 2], [152, 1], [153, 2], [154, 3], [156, 5], [157, 1], [158, 1], [171, 1], [172, 1], [179, 1], [206, 1], [211, 1], [215, 1], [232, 1], [234, 1], [256, 1], [269, 1], [274, 1], [277, 1], [278, 1], [282, 1], [288, 1], [300, 1], [301, 1], [302, 1], [309, 1], [322, 1], [335, 1], [351, 2], [357, 1], [365, 1], [401, 1], [446, 1], [466, 1], [467, 1], [468, 1], [469, 1], [471, 1], [472, 1], [473, 2], [481, 1], [500, 1], [517, 2], [532, 2], [533, 1], [534, 1], [540, 1], [543, 1], [552, 1], [557, 1], [562, 1], [563, 1], [565, 1], [566, 1], [567, 1], [568, 2], [570, 1], [571, 1], [574, 1], [577, 1], [578, 1], [586, 2], [587, 1], [589, 1], [593, 1], [596, 1], [599, 1], [601, 1], [603, 1], [604, 1], [637, 1], [639, 1], [642, 1], [649, 2], [650, 1], [658, 1], [672, 2], [675, 1], [676, 1], [689, 1], [695, 1], [696, 1], [704, 2], [705, 1], [706, 1], [714, 1], [721, 1], [732, 1], [735, 1], [737, 2], [738, 1], [744, 1], [759, 2], [761, 1], [762, 1], [764, 1], [766, 1], [767, 1], [768, 1], [776, 1], [780, 1], [781, 1], [784, 1], [786, 1], [791, 1], [793, 3], [795, 1], [796, 1], [800, 2], [803, 1], [809, 1], [812, 1], [818, 2], [819, 1], [820, 2], [840, 1], [841, 1], [846, 1], [847, 1], [850, 1], [857, 1], [870, 2], [872, 1], [875, 1], [877, 2], [878, 2], [879, 1], [880, 2], [881, 1], [882, 1], [884, 1], [885, 1], [887, 1], [889, 1], [899, 1], [900, 9], [902, 5], [903, 2], [904, 2], [905, 1], [906, 2], [907, 7], [908, 2], [909, 2], [910, 4], [912, 1], [913, 4], [914, 1], [915, 1], [917, 4], [918, 3], [919, 4], [921, 6], [922, 3], [923, 3], [926, 5], [927, 1], [928, 1], [930, 1], [931, 1], [933, 2], [934, 1], [935, 4], [938, 1], [939, 4], [940, 4], [941, 4], [943, 2], [944, 1], [945, 8], [946, 3], [947, 1], [950, 2], [951, 8], [952, 2], [953, 2], [955, 1], [956, 5], [957, 2], [958, 1], [959, 3], [960, 2], [961, 6], [964, 5], [966, 3], [967, 1], [968, 3], [969, 1], [970, 4], [971, 1], [972, 1], [975, 3], [976, 3], [978, 1], [981, 7], [983, 1], [985, 1], [987, 1], [990, 1], [992, 1], [994, 2], [995, 1], [996, 1], [998, 1], [1003, 3], [1004, 1], [1005, 1], [1007, 1], [1008, 1], [1011, 1], [1013, 1], [1014, 2], [1017, 5], [1018, 4], [1020, 2], [1021, 1], [1022, 1], [1023, 2], [1024, 3], [1025, 1], [1027, 3], [1028, 1], [1030, 1], [1031, 2], [1032, 1], [1034, 2], [1035, 2], [1036, 6], [1037, 2], [1038, 3], [1039, 2], [1042, 2], [1043, 1], [1044, 3], [1045, 3], [1046, 5], [1047, 1], [1048, 3], [1049, 2], [1052, 1], [1054, 1], [1055, 1], [1056, 1], [1058, 7], [1059, 1], [1060, 5], [1061, 1], [1063, 2], [1065, 1], [1066, 1], [1068, 1], [1069, 2], [1070, 2], [1071, 2], [1073, 5], [1074, 2], [1075, 12], [1076, 2], [1077, 2], [1078, 1], [1083, 3], [1084, 4], [1085, 2], [1086, 3], [1092, 1], [1093, 1], [1099, 2], [1100, 3], [1103, 2], [1105, 2], [1106, 1], [1107, 2], [1108, 2], [1111, 1], [1112, 1], [1114, 1], [1119, 2], [1120, 1], [1121, 1], [1122, 1], [1124, 2], [1126, 4], [1127, 2], [1128, 3], [1130, 2], [1131, 1], [1132, 3], [1134, 1], [1138, 2], [1141, 1], [1142, 1], [1146, 1], [1149, 5], [1150, 2], [1152, 3], [1153, 1], [1154, 1], [1155, 1], [1156, 3], [1157, 1], [1158, 2], [1160, 1], [1161, 3], [1163, 1], [1164, 1], [1165, 1], [1166, 1], [1167, 5], [1168, 1], [1169, 2], [1171, 3], [1173, 5], [1174, 2], [1175, 1], [1176, 3], [1177, 1], [1178, 1], [1179, 1], [1180, 1], [1181, 1], [1182, 2], [1187, 2], [1188, 2], [1189, 1], [1190, 1], [1191, 3], [1192, 1], [1194, 1], [1195, 1], [1198, 1], [1199, 1], [1200, 1], [1204, 2], [1208, 1], [1209, 1], [1210, 1], [1212, 6], [1217, 1], [1219, 1], [1220, 10], [1224, 1], [1226, 7], [1227, 4], [1228, 5], [1229, 2], [1230, 4], [1231, 3], [1232, 2], [1236, 1], [1237, 1], [1240, 3], [1241, 1], [1244, 2], [1246, 1], [1247, 4], [1248, 1], [1250, 4], [1251, 1], [1256, 1], [1262, 2], [1263, 1], [1264, 1], [1268, 8], [1271, 2], [1272, 2], [1274, 1], [1279, 2], [1280, 10], [1281, 6], [1282, 2], [1283, 5], [1284, 1], [1286, 1], [1288, 4], [1289, 1], [1293, 2], [1295, 1], [1296, 1], [1297, 3], [1298, 1], [1300, 3], [1302, 4], [1303, 5], [1304, 1], [1305, 1], [1306, 6], [1307, 4], [1310, 2], [1311, 3], [1312, 10], [1313, 2], [1314, 2], [1316, 3], [1317, 1], [1318, 3], [1319, 1], [1320, 5], [1321, 4], [1322, 1], [1323, 3], [1326, 1], [1328, 4], [1329, 2], [1332, 3], [1334, 2], [1337, 3], [1338, 5], [1342, 2], [1343, 2], [1344, 4], [1345, 1], [1346, 3], [1347, 2], [1350, 3], [1351, 4], [1352, 1], [1353, 6], [1354, 1], [1355, 1], [1356, 1], [1358, 1], [1360, 3], [1361, 2], [1364, 1], [1366, 5], [1367, 2], [1368, 4], [1372, 2], [1374, 1], [1375, 2], [1376, 2], [1377, 1], [1379, 2], [1380, 1], [1381, 3], [1382, 2], [1383, 1], [1384, 3], [1386, 2], [1388, 2], [1390, 1], [1392, 1], [1393, 3], [1394, 1], [1395, 6], [1396, 2], [1398, 1], [1399, 5], [1401, 1], [1404, 2], [1405, 1], [1413, 2], [1414, 2], [1415, 1], [1416, 9], [1417, 4], [1418, 7], [1419, 2], [1420, 5], [1421, 3], [1422, 3], [1423, 1], [1424, 1], [1425, 2], [1427, 2], [1428, 1], [1429, 6], [1431, 6], [1432, 3], [1433, 6], [1434, 4], [1436, 6], [1437, 1], [1438, 3], [1439, 5], [1440, 2], [1441, 2], [1445, 1], [1450, 1], [1451, 1], [1453, 1], [1454, 3], [1458, 1], [1461, 1], [1466, 1], [1467, 1], [1468, 1], [1469, 3], [1472, 1], [1474, 2], [1475, 3], [1476, 5], [1477, 1], [1478, 2], [1479, 3], [1480, 1], [1481, 1], [1482, 4], [1483, 1], [1484, 1], [1485, 2], [1487, 1], [1489, 3], [1492, 2], [1493, 1], [1494, 3], [1498, 1], [1499, 1], [1501, 3], [1502, 6], [1504, 8], [1505, 4], [1506, 22], [1507, 11], [1508, 5], [1509, 8], [1510, 1], [1511, 1], [1513, 3], [1515, 3], [1518, 2], [1519, 6], [1520, 5], [1521, 1], [1522, 3], [1523, 1], [1524, 2], [1525, 4], [1526, 3], [1527, 6], [1528, 2], [1529, 6], [1530, 2], [1531, 5], [1532, 6], [1533, 2], [1534, 5], [1535, 2], [1536, 2], [1537, 3], [1538, 10], [1539, 5], [1540, 1], [1541, 1], [1542, 5], [1543, 1], [1544, 7], [1545, 1], [1546, 12], [1549, 1], [1550, 3], [1551, 1], [1552, 3], [1553, 1], [1554, 1], [1555, 6], [1558, 2], [1559, 2], [1560, 1], [1561, 2], [1563, 1], [1565, 1], [1567, 2], [1568, 1], [1569, 5], [1570, 4], [1573, 1], [1576, 3], [1577, 2], [1579, 1], [1580, 1], [1581, 4], [1583, 1], [1584, 4], [1585, 1], [1586, 4], [1588, 2], [1592, 4], [1593, 1], [1596, 1], [1597, 8], [1600, 6], [1601, 3], [1602, 3], [1603, 6], [1606, 6], [1607, 2], [1608, 3], [1609, 12], [1610, 5], [1612, 1], [1613, 1], [1614, 2], [1615, 4], [1616, 1], [1620, 1], [1621, 3], [1622, 1], [1623, 5], [1625, 1], [1627, 5], [1631, 1], [1633, 2], [1636, 2], [1638, 4], [1639, 3], [1641, 1], [1642, 1], [1643, 2], [1645, 2], [1646, 7], [1647, 2], [1648, 2], [1649, 6], [1650, 6], [1651, 1], [1652, 2], [1654, 1], [1656, 3], [1657, 2], [1659, 4], [1662, 3], [1663, 3], [1664, 1], [1668, 2], [1669, 7], [1671, 1], [1673, 2], [1676, 3], [1678, 1], [1679, 2], [1682, 2], [1683, 1], [1685, 2], [1686, 2], [1688, 1], [1689, 3], [1690, 2], [1691, 1], [1692, 1], [1693, 1], [1694, 1], [1696, 2], [1697, 9], [1698, 1], [1699, 1], [1700, 1], [1705, 2], [1706, 1], [1710, 1], [1711, 1], [1715, 9], [1716, 4], [1717, 1], [1719, 5], [1720, 2], [1721, 2], [1723, 1], [1725, 2], [1726, 1], [1727, 2], [1729, 1], [1730, 1], [1732, 3], [1733, 6], [1734, 1], [1736, 3], [1739, 1], [1740, 4], [1741, 2], [1742, 2], [1743, 2], [1745, 4], [1746, 2], [1747, 3], [1748, 3], [1749, 3], [1751, 2], [1753, 2], [1755, 1], [1756, 2], [1757, 2], [1758, 3], [1759, 6], [1760, 8], [1761, 5], [1762, 1], [1763, 2], [1767, 1], [1773, 1], [1774, 1], [1778, 1], [1779, 1], [1780, 1], [1785, 3], [1788, 2], [1789, 1], [1793, 2], [1794, 1], [1799, 1], [1801, 1], [1802, 1], [1803, 1], [1804, 1], [1808, 1], [1811, 3], [1814, 1], [1818, 3], [1821, 2], [1822, 1], [1823, 6], [1824, 4], [1826, 5], [1827, 2], [1828, 1], [1829, 7], [1830, 2], [1831, 5], [1832, 2], [1833, 5], [1836, 2], [1837, 13], [1838, 1], [1839, 2], [1840, 7], [1841, 1], [1842, 9], [1844, 3], [1846, 1], [1847, 3], [1848, 6], [1849, 1], [1850, 1], [1851, 5], [1852, 1], [1853, 3], [1854, 1], [1859, 1], [1860, 1], [1862, 3], [1863, 2], [1864, 4], [1865, 2], [1867, 1], [1871, 5], [1872, 1], [1873, 1], [1877, 8], [1881, 2], [1882, 1], [1883, 4], [1884, 1], [1886, 4], [1887, 1], [1891, 4], [1893, 2], [1895, 2], [1896, 1], [1897, 1], [1898, 3], [1899, 1], [1900, 1], [1901, 1], [1908, 1], [1909, 1], [1912, 1], [1913, 1], [1915, 1], [1917, 1], [1922, 1], [1925, 2], [1926, 1], [1928, 1], [1934, 2], [1935, 1], [1936, 2], [1937, 1], [1938, 2], [1939, 2], [1941, 1], [1944, 1], [1945, 2], [1947, 1], [1948, 1], [1949, 3], [1950, 2], [1951, 2], [1952, 1], [1953, 2], [1954, 1], [1955, 2], [1956, 1], [1967, 1], [1970, 1], [1973, 1], [1975, 1], [1992, 3], [2020, 1], [2024, 1], [2025, 1], [2031, 1], [2032, 3], [2039, 1], [2041, 1], [2042, 1], [2043, 1], [2044, 1], [2047, 1], [2052, 2], [2054, 1], [2055, 2], [2058, 1], [2060, 1], [2062, 1], [2063, 1], [2078, 1], [2082, 1], [2083, 1], [2090, 1], [2092, 1], [2093, 1], [2097, 1], [2105, 1], [2108, 1], [2109, 1], [2110, 1], [2111, 1], [2114, 2], [2116, 1], [2117, 2], [2131, 2], [2134, 1], [2137, 1], [2139, 2], [2140, 2], [2141, 1], [2142, 2], [2143, 1], [2145, 1], [2146, 1], [2148, 1], [2150, 1], [2152, 1], [2157, 2], [2162, 1], [2163, 1], [2171, 2], [2172, 1], [2173, 1], [2181, 1], [2188, 1], [2198, 1], [2201, 1], [2203, 2], [2204, 1], [2209, 1], [2212, 1], [2226, 1], [2230, 2], [2236, 1], [2238, 1], [2245, 1], [2246, 1], [2253, 2], [2256, 1], [2257, 1], [2258, 1], [2260, 1], [2262, 1], [2268, 1], [2273, 2], [2274, 1], [2277, 1], [2287, 1], [2288, 1], [2289, 1], [2290, 1], [2291, 2], [2292, 1], [2297, 1], [2303, 1], [2304, 2], [2311, 1], [2321, 1], [2323, 1], [2326, 1], [2334, 3], [2337, 2], [2338, 1], [2339, 1], [2340, 1], [2345, 1], [2348, 1], [2351, 1], [2357, 1], [2359, 1], [2365, 1], [2373, 2], [2379, 1], [2384, 1], [2385, 1], [2390, 1], [2393, 1], [2396, 1], [2407, 1], [2416, 1], [2421, 1], [2424, 1], [2428, 1], [2430, 1], [2431, 1], [2439, 1], [2442, 2], [2443, 1], [2445, 1], [2449, 1], [2450, 1], [2458, 1], [2460, 1], [2461, 1], [2470, 1], [2482, 1], [2490, 1], [2492, 1], [2493, 2], [2494, 1], [2497, 1], [2506, 1], [2507, 1], [2514, 1], [2516, 1], [2520, 1], [2524, 1], [2532, 1], [2536, 1], [2540, 5], [2545, 1], [2548, 1], [2550, 1], [2562, 1], [2565, 1], [2568, 1], [2569, 1], [2574, 1], [2576, 3], [2577, 1], [2584, 1], [2587, 1], [2589, 1], [2591, 2], [2595, 2], [2598, 1], [2599, 1], [2604, 1], [2605, 1], [2606, 1], [2607, 1], [2608, 2], [2610, 1], [2614, 4], [2616, 1], [2618, 1], [2619, 4], [2623, 1], [2625, 1], [2627, 1], [2629, 1], [2631, 1], [2634, 1], [2635, 1], [2639, 2], [2641, 1], [2643, 1], [2646, 1], [2656, 2], [2659, 2], [2661, 3], [2666, 1], [2668, 2], [2671, 1], [2672, 1], [2675, 1], [2676, 2], [2677, 1], [2680, 2], [2681, 2], [2683, 1], [2685, 2], [2686, 1], [2687, 2], [2688, 3], [2694, 2], [2697, 1], [2698, 1], [2699, 2], [2700, 1], [2702, 2], [2703, 2], [2704, 1], [2705, 1], [2708, 1], [2709, 3], [2719, 1], [2723, 1], [2725, 1], [2728, 1], [2732, 2], [2733, 1], [2735, 1], [2742, 1], [2750, 1], [2754, 1], [2757, 1], [2759, 1], [2761, 1], [2766, 2], [2770, 1], [2771, 1], [2774, 1], [2776, 1], [2781, 1], [2786, 1]]
5;کاسه;727.13099075;3.0;[[0, 1], [1909, 1], [1910, 1]]
6;ای;5055.24346189;103.0;[[0, 1], [220, 1], [221, 1], [223, 1], [477, 1], [491, 1], [507, 2], [538, 1], [542, 1], [555, 1], [562, 1], [563, 1], [580, 1], [771, 1], [774, 1], [777, 1], [779, 1], [780, 1], [810, 1], [840, 1], [841, 1], [855, 1], [936, 1], [941, 1], [1016, 1], [1060, 1], [1070, 2], [1078, 1], [1128, 1], [1212, 1], [1219, 1], [1220, 1], [1228, 1], [1229, 1], [1231, 1], [1242, 2], [1256, 1], [1280, 1], [1294, 1], [1310, 1], [1321, 1], [1323, 1], [1351, 1], [1358, 1], [1363, 1], [1368, 2], [1395, 1], [1403, 1], [1407, 1], [1417, 1], [1477, 1], [1483, 1], [1498, 1], [1501, 1], [1505, 3], [1506, 2], [1507, 1], [1513, 1], [1514, 1], [1522, 1], [1527, 1], [1529, 2], [1530, 1], [1546, 3], [1570, 1], [1597, 1], [1602, 1], [1638, 1], [1651, 1], [1678, 1], [1679, 1], [1690, 1], [1691, 1], [1701, 1], [1705, 1], [1721, 1], [1758, 1], [1785, 1], [1794, 1], [1829, 1], [1848, 1], [1852, 2], [1862, 1], [1871, 1], [1887, 1], [1888, 1], [1891, 1], [1893, 2], [1909, 1], [1910, 1], [2074, 1], [2253, 1], [2265, 1], [2306, 1], [2322, 1], [2477, 1], [2478, 1], [2540, 1], [2561, 1], [2622, 1], [2631, 1], [2707, 1], [2789, 2]]
7;چیست;18169.7068045;193.0;[[0, 1], [19, 1], [159, 1], [161, 1], [224, 1], [226, 1], [227, 1], [229, 1], [283, 1], [305, 1], [434, 1], [444, 1], [445, 1], [459, 1], [516, 1], [525, 1], [541, 1], [544, 1], [545, 1], [578, 1], [582, 1], [588, 1], [664, 1], [675, 1], [763, 1], [765, 1], [768, 1], [787, 1], [790, 1], [798, 1], [816, 1], [824, 1], [831, 1], [842, 1], [844, 1], [846, 1], [882, 1], [891, 1], [1000, 1], [1015, 1], [1056, 1], [1102, 1], [1105, 1], [1107, 1], [1131, 1], [1139, 1], [1154, 1], [1166, 1], [1201, 1], [1202, 1], [1233, 1], [1250, 1], [1261, 2], [1294, 1], [1313, 1], [1338, 1], [1389, 1], [1390, 1], [1409, 1], [1424, 1], [1448, 1], [1449, 1], [1450, 1], [1454, 1], [1463, 1], [1469, 1], [1477, 1], [1535, 1], [1561, 1], [1610, 2], [1615, 1], [1627, 2], [1662, 2], [1672, 1], [1679, 1], [1692, 1], [1708, 1], [1710, 1], [1730, 1], [1731, 1], [1732, 1], [1737, 1], [1738, 1], [1741, 1], [1745, 1], [1748, 1], [1750, 1], [1751, 1], [1755, 1], [1757, 1], [1767, 1], [1783, 2], [1850, 1], [1891, 1], [1900, 1], [1905, 1], [1909, 1], [1924, 1], [1944, 1], [1945, 1], [1949, 1], [1953, 1], [1959, 1], [1960, 1], [1961, 1], [1965, 1], [1991, 1], [1992, 1], [1993, 1], [1997, 1], [1999, 1], [2001, 1], [2008, 1], [2010, 1], [2011, 1], [2020, 1], [2024, 1], [2028, 1], [2043, 1], [2082, 1], [2083, 1], [2085, 1], [2086, 1], [2092, 1], [2108, 1], [2110, 1], [2115, 1], [2116, 1], [2143, 1], [2226, 1], [2280, 1], [2318, 1], [2344, 1], [2385, 2], [2387, 1], [2393, 1], [2412, 1], [2414, 1], [2415, 1], [2416, 1], [2425, 1], [2431, 1], [2445, 1], [2461, 1], [2463, 1], [2473, 1], [2484, 1], [2501, 1], [2509, 1], [2511, 1], [2524, 1], [2548, 1], [2550, 1], [2552, 1], [2553, 1], [2561, 1], [2573, 1], [2589, 1], [2593, 1], [2594, 1], [2596, 1], [2597, 1], [2598, 1], [2604, 1], [2606, 1], [2609, 1], [2638, 1], [2639, 1], [2653, 1], [2686, 1], [2688, 1], [2689, 1], [2696, 1], [2697, 1], [2698, 1], [2699, 1], [2702, 1], [2703, 1], [2704, 1], [2705, 1], [2707, 1], [2709, 1], [2710, 1], [2720, 1], [2729, 1], [2731, 1], [2741, 1], [2743, 1], [2749, 1], [2761, 1], [2776, 1], [2781, 1], [2794, 1]]
8;آیا;21176.0664246;546.0;[[1, 1], [215, 1], [216, 1], [217, 1], [220, 1], [221, 1], [223, 1], [225, 1], [278, 1], [286, 1], [300, 1], [304, 1], [326, 1], [350, 1], [358, 1], [377, 1], [389, 1], [414, 1], [433, 1], [437, 1], [440, 1], [448, 1], [461, 1], [480, 1], [481, 1], [483, 1], [490, 1], [491, 1], [492, 1], [495, 1], [507, 1], [509, 1], [510, 1], [511, 1], [512, 1], [513, 1], [515, 1], [517, 1], [526, 1], [527, 1], [537, 1], [547, 1], [550, 1], [552, 1], [553, 1], [555, 1], [556, 1], [576, 1], [581, 1], [584, 1], [585, 1], [653, 1], [654, 1], [655, 1], [656, 1], [657, 1], [658, 1], [660, 1], [661, 1], [670, 1], [677, 1], [679, 1], [686, 1], [687, 1], [689, 1], [691, 1], [693, 1], [694, 1], [695, 1], [696, 1], [698, 1], [702, 1], [703, 1], [704, 1], [708, 1], [709, 1], [711, 1], [714, 1], [716, 1], [717, 1], [718, 1], [721, 1], [726, 1], [731, 1], [734, 1], [735, 1], [736, 1], [743, 1], [744, 1], [745, 1], [746, 1], [767, 1], [779, 1], [797, 1], [812, 1], [813, 1], [817, 1], [819, 1], [826, 1], [830, 1], [832, 1], [834, 1], [836, 1], [837, 1], [840, 1], [847, 1], [848, 1], [849, 1], [855, 1], [857, 1], [858, 1], [866, 1], [867, 1], [868, 1], [870, 1], [872, 1], [874, 1], [876, 1], [877, 1], [880, 1], [883, 1], [884, 1], [885, 1], [886, 1], [889, 1], [896, 1], [897, 1], [899, 1], [978, 1], [993, 1], [1008, 1], [1011, 1], [1015, 1], [1025, 1], [1035, 1], [1038, 1], [1046, 1], [1050, 1], [1053, 1], [1054, 1], [1055, 1], [1058, 1], [1063, 1], [1069, 1], [1077, 1], [1089, 1], [1090, 1], [1097, 1], [1101, 1], [1104, 1], [1105, 2], [1106, 1], [1108, 1], [1140, 1], [1141, 1], [1156, 1], [1157, 1], [1161, 1], [1163, 1], [1187, 1], [1191, 1], [1194, 1], [1195, 1], [1197, 1], [1203, 1], [1237, 1], [1239, 1], [1253, 1], [1258, 1], [1262, 1], [1269, 1], [1289, 1], [1303, 1], [1306, 1], [1310, 1], [1315, 1], [1321, 1], [1328, 2], [1330, 1], [1359, 1], [1363, 1], [1372, 1], [1373, 1], [1376, 2], [1390, 1], [1405, 1], [1408, 1], [1413, 1], [1419, 1], [1425, 2], [1436, 1], [1445, 1], [1467, 3], [1468, 1], [1469, 1], [1476, 1], [1478, 1], [1481, 1], [1484, 1], [1485, 2], [1486, 1], [1497, 1], [1505, 1], [1506, 1], [1509, 1], [1511, 1], [1523, 2], [1524, 1], [1525, 1], [1534, 1], [1540, 1], [1541, 1], [1543, 1], [1545, 1], [1550, 1], [1556, 2], [1584, 1], [1585, 1], [1586, 1], [1597, 1], [1600, 1], [1613, 1], [1619, 1], [1625, 1], [1628, 1], [1630, 1], [1631, 1], [1636, 1], [1647, 1], [1648, 1], [1652, 1], [1654, 1], [1656, 1], [1657, 1], [1659, 1], [1663, 1], [1665, 1], [1676, 3], [1682, 2], [1683, 1], [1684, 1], [1688, 1], [1690, 1], [1692, 1], [1695, 1], [1696, 1], [1697, 1], [1699, 1], [1700, 1], [1702, 1], [1704, 1], [1706, 1], [1707, 1], [1711, 1], [1716, 2], [1721, 1], [1722, 1], [1723, 1], [1726, 2], [1729, 1], [1732, 4], [1734, 1], [1736, 1], [1739, 1], [1742, 1], [1743, 1], [1746, 1], [1747, 2], [1748, 1], [1749, 1], [1753, 1], [1754, 2], [1756, 1], [1759, 3], [1769, 1], [1773, 1], [1781, 1], [1804, 1], [1814, 1], [1820, 1], [1832, 1], [1842, 1], [1849, 1], [1853, 1], [1855, 1], [1863, 1], [1875, 3], [1878, 1], [1879, 1], [1881, 1], [1882, 2], [1885, 1], [1886, 1], [1889, 1], [1895, 1], [1898, 1], [1910, 1], [1933, 1], [1937, 1], [1950, 1], [1981, 1], [2016, 1], [2017, 1], [2026, 1], [2030, 1], [2034, 1], [2035, 1], [2037, 1], [2038, 1], [2041, 1], [2042, 1], [2044, 1], [2046, 2], [2047, 1], [2048, 1], [2050, 1], [2052, 1], [2056, 1], [2057, 1], [2060, 1], [2061, 1], [2062, 1], [2066, 1], [2071, 1], [2072, 1], [2073, 1], [2074, 1], [2075, 1], [2087, 1], [2088, 1], [2091, 1], [2094, 1], [2095, 1], [2096, 1], [2102, 1], [2104, 1], [2105, 1], [2109, 1], [2111, 1], [2112, 1], [2117, 1], [2118, 1], [2120, 1], [2123, 1], [2125, 1], [2127, 1], [2128, 1], [2129, 1], [2131, 1], [2134, 1], [2136, 1], [2137, 1], [2138, 1], [2139, 1], [2142, 1], [2144, 1], [2145, 1], [2146, 1], [2147, 1], [2150, 1], [2151, 1], [2152, 1], [2156, 1], [2157, 1], [2158, 1], [2160, 1], [2161, 1], [2162, 1], [2163, 1], [2165, 1], [2169, 1], [2170, 1], [2171, 1], [2175, 1], [2176, 1], [2178, 1], [2181, 1], [2183, 1], [2184, 1], [2185, 1], [2188, 1], [2193, 1], [2197, 1], [2200, 1], [2201, 1], [2202, 1], [2208, 1], [2209, 1], [2210, 1], [2211, 1], [2214, 1], [2215, 1], [2216, 1], [2220, 1], [2221, 1], [2222, 1], [2224, 1], [2227, 1], [2230, 1], [2231, 1], [2232, 1], [2234, 1], [2235, 1], [2237, 1], [2238, 1], [2240, 1], [2241, 1], [2243, 1], [2245, 1], [2246, 1], [2247, 1], [2254, 1], [2269, 1], [2270, 1], [2271, 1], [2272, 1], [2274, 1], [2275, 1], [2280, 1], [2281, 1], [2285, 1], [2286, 1], [2289, 1], [2290, 1], [2292, 1], [2329, 1], [2330, 1], [2331, 1], [2333, 1], [2341, 1], [2342, 1], [2345, 1], [2346, 1], [2347, 1], [2348, 1], [2365, 1], [2366, 1], [2373, 1], [2374, 1], [2376, 1], [2383, 1], [2384, 1], [2409, 1], [2410, 1], [2412, 1], [2413, 1], [2426, 1], [2434, 1], [2435, 1], [2436, 1], [2441, 1], [2442, 1], [2444, 1], [2446, 1], [2452, 1], [2456, 1], [2457, 1], [2458, 1], [2461, 1], [2467, 1], [2485, 1], [2487, 1], [2488, 1], [2489, 1], [2490, 1], [2495, 1], [2500, 1], [2513, 1], [2515, 1], [2517, 1], [2520, 1], [2525, 1], [2544, 1], [2545, 1], [2546, 1], [2549, 1], [2554, 1], [2555, 1], [2556, 1], [2564, 1], [2565, 1], [2566, 1], [2569, 1], [2571, 1], [2576, 1], [2578, 1], [2580, 1], [2585, 1], [2588, 1], [2589, 1], [2590, 1], [2591, 1], [2603, 1], [2605, 1], [2608, 1], [2610, 1], [2611, 1], [2613, 1], [2616, 1], [2619, 1], [2621, 1], [2623, 1], [2624, 1], [2625, 1], [2627, 1], [2628, 1], [2629, 1], [2632, 1], [2633, 1], [2634, 1], [2637, 1], [2650, 1], [2651, 1], [2652, 1], [2660, 1], [2668, 1], [2671, 1], [2674, 1], [2675, 1], [2676, 1], [2678, 1], [2679, 1], [2680, 1], [2681, 1], [2682, 1], [2683, 1], [2684, 1], [2685, 1], [2695, 1], [2724, 1], [2727, 1], [2728, 1], [2739, 1], [2740, 1], [2755, 1], [2758, 1], [2759, 1], [2780, 1], [2783, 1], [2784, 1], [2785, 1], [2786, 1], [2789, 1], [2792, 1], [2796, 1], [2798, 1]]
9;ضدقفل;512.957862565;3.0;[[1, 1], [2, 1], [1910, 1]]
