;tag;total_num;num16;num17;num18
0;ماشین;360.0;119.0;120.0;121.0
1;فنی;688.0;187.0;216.0;285.0
2;خرید;613.0;190.0;228.0;195.0
3;کار;430.0;159.0;130.0;141.0
4;اقتصاد;559.0;141.0;224.0;194.0
5;کامپیوتر/موبایل;1039.0;359.0;362.0;318.0
6;سلامت;1363.0;458.0;557.0;348.0
7;حقوق/قانون;1294.0;330.0;742.0;222.0
8;ورزش;208.0;68.0;83.0;57.0
9;مذهبی;733.0;236.0;234.0;263.0
10;روابط;372.0;85.0;195.0;92.0
11;کودکان;317.0;132.0;92.0;93.0
12;حیوانات;165.0;55.0;55.0;55.0
13;تحصیل;504.0;137.0;176.0;191.0
14;سفر;505.0;167.0;175.0;163.0
15;سرگرمی;90.0;47.0;17.0;26.0
16;زیبایی;354.0;136.0;61.0;157.0
17;تغذیه;973.0;348.0;345.0;280.0
18;روانشناسی;566.0;158.0;212.0;196.0
19;گیاهان;69.0;19.0;33.0;17.0
20;بازی;53.0;7.0;24.0;22.0
21;برنامه‌نویسی;56.0;22.0;14.0;20.0
22;زبان;117.0;60.0;49.0;8.0
